,MasterFord,Falstaff,MistressPage,HughEvans,MistressQuickly,MasterPage,Slender,Host,Shallow,DoctorCaius,MistressFord,Fenton,Pistol,Nym,Simple,AnnePage,Bardolph,Robin,WilliamPage,Rugby,BOYS
MasterFord,748,1355,864,1251,251,1453,144,122,614,944,1064,57,279,39,0,57,18,55,0,76,251
Falstaff,1533,450,496,433,866,385,165,183,132,33,868,33,1401,619,108,81,525,762,0,0,301
MistressPage,738,740,377,662,480,655,110,0,36,201,2406,138,224,0,0,138,0,528,150,0,224
HughEvans,332,443,554,135,485,678,916,170,1000,345,311,0,362,156,615,129,237,0,279,152,253
MistressQuickly,15,1397,168,430,15,15,27,0,27,370,15,425,1128,0,631,344,15,806,141,516,322
MasterPage,878,253,640,923,277,0,703,224,642,389,566,141,253,67,107,188,67,0,0,164,186
Slender,213,384,171,841,395,584,0,51,946,57,171,224,384,213,318,564,213,0,0,57,171
Host,174,200,0,282,0,611,490,0,575,594,0,72,82,82,370,0,242,82,0,564,0
Shallow,260,34,0,677,88,787,949,424,0,283,16,88,34,34,269,116,34,0,0,255,0
DoctorCaius,126,116,109,275,447,345,282,362,221,0,109,0,61,0,432,0,55,0,0,766,61
MistressFord,260,460,1330,218,45,260,0,0,110,148,24,0,33,0,0,0,0,151,0,0,33
Fenton,96,96,171,96,298,112,112,455,16,96,96,0,96,0,0,331,0,0,0,0,96
Pistol,131,319,131,132,81,182,51,0,51,0,131,0,0,390,0,64,62,116,0,0,81
Nym,97,123,97,49,0,146,49,0,49,0,97,0,192,0,0,0,49,74,0,0,0
Simple,0,156,0,95,118,0,23,210,23,47,0,0,0,0,0,0,0,0,0,47,0
AnnePage,11,11,40,25,105,28,170,0,79,11,11,148,11,0,32,0,0,0,0,0,11
Bardolph,0,175,0,46,5,46,46,96,46,0,0,0,59,59,0,0,0,13,0,0,0
Robin,4,38,83,0,0,0,0,0,0,0,88,0,10,0,0,0,0,0,0,0,0
WilliamPage,0,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rugby,0,0,0,0,27,0,0,0,0,60,0,0,0,0,27,0,0,0,0,0,0
BOYS,0,17,0,17,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0