,ATTENDANTS,ATTENDANTS.0,ATTENDANTS.0.1,ATTENDANTS.RICHMOND,Archbishop,BISHOPS,BishopOfEly,Blunt,Brakenbury,Brandon,Buckingham,CITIZENS,CITIZENS.0,CITIZENS.1,CITIZENS.2,CITIZENS.3,Cardinal,Catesby,Clarence,ClarencesBoy,ClarencesDaughter,Dorset,DuchessOfYork,EdwardIV,EdwardV,GENTLEMEN,GUARDS,Grey,Hastings,HenryVI,HenryVII,Herbert,Jailer,LadyAnne,Lovell,MESSENGERS.1,MESSENGERS.2,MESSENGERS.3,MESSENGERS.4,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MURDERERS.1,MURDERERS.2,MayorOfLondon,Norfolk,Oxford,PrinceEdward,Pursuivant,QueenElizabeth,QueenMargaret,Ratcliffe,RichardIII,Rivers,SOLDIERS.RICHARD,SOLDIERS.RICHMOND,Scales,Scrivener,Sheriff,SirChristopher,SirJohn,Stanley,Surrey,Tyrrel,Vaughan,Woodeville,York
ATTENDANTS,0.0,767.0,44.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,282.0,0.0,552.0,0.0,0.0,0.0,119.0,562.0,0.0,0.0,0.0,0.0,66.0,0.0,153.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,203.0,42.0,37.0,34.0,21.0,0.0,0.0,0.0,0.0,0.0,135.0,80.0,0.0,0.0,0.0,314.0,0.0,317.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,17.0,0.0,0.0,58.0
ATTENDANTS.0,767.0,0.0,44.0,91.0,0.0,154.0,69.0,52.0,17.0,94.0,718.0,193.0,1390.0,0.0,0.0,0.0,101.0,855.0,9.0,0.0,110.0,204.0,306.0,0.0,144.0,0.0,56.0,33.0,329.0,7.0,332.0,119.0,0.0,119.0,319.0,42.0,37.0,34.0,21.0,0.0,35.0,10.0,0.0,0.0,386.0,185.0,119.0,8.0,13.0,554.0,129.0,632.0,1439.0,33.0,299.0,96.0,0.0,14.0,30.0,21.0,5.0,394.0,19.0,56.0,33.0,0.0,67.0
ATTENDANTS.0.1,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,44.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.RICHMOND,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0
Archbishop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
BISHOPS,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,154.0,21.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BishopOfEly,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,69.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0
Blunt,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brakenbury,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,17.0,17.0,17.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon,0.0,94.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,94.0,0.0,0.0,0.0,0.0,35.0,64.0,0.0,64.0,30.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
Buckingham,282.0,718.0,28.0,0.0,0.0,148.0,56.0,0.0,0.0,0.0,0.0,187.0,132.0,0.0,0.0,0.0,119.0,400.0,0.0,47.0,47.0,510.0,47.0,137.0,153.0,0.0,30.0,463.0,655.0,0.0,11.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,63.0,0.0,0.0,0.0,510.0,209.0,356.0,1084.0,510.0,11.0,0.0,137.0,0.0,30.0,0.0,0.0,514.0,0.0,0.0,0.0,137.0,58.0
CITIZENS,0.0,193.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,187.0,0.0,21.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.0,552.0,1390.0,44.0,91.0,0.0,21.0,0.0,52.0,17.0,94.0,132.0,21.0,0.0,0.0,0.0,0.0,0.0,460.0,9.0,0.0,110.0,204.0,306.0,0.0,9.0,0.0,30.0,7.0,5.0,7.0,332.0,119.0,0.0,119.0,123.0,42.0,37.0,34.0,21.0,0.0,0.0,10.0,0.0,0.0,21.0,105.0,119.0,8.0,0.0,554.0,129.0,410.0,911.0,7.0,299.0,96.0,0.0,0.0,30.0,21.0,0.0,291.0,19.0,56.0,7.0,0.0,9.0
CITIZENS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardinal,119.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
Catesby,562.0,855.0,44.0,0.0,0.0,154.0,0.0,0.0,0.0,17.0,400.0,176.0,460.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,22.0,66.0,0.0,153.0,0.0,0.0,5.0,161.0,0.0,17.0,17.0,0.0,0.0,62.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,315.0,17.0,17.0,0.0,1.0,319.0,0.0,111.0,789.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,58.0
Clarence,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,9.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClarencesBoy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,116.0,150.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,47.0,47.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0
ClarencesDaughter,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,47.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,226.0,260.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,47.0,47.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0
Dorset,0.0,204.0,0.0,0.0,0.0,0.0,0.0,27.0,17.0,94.0,510.0,0.0,204.0,0.0,0.0,0.0,0.0,22.0,0.0,116.0,226.0,0.0,226.0,137.0,0.0,0.0,0.0,480.0,485.0,0.0,94.0,94.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,94.0,0.0,0.0,706.0,209.0,172.0,502.0,596.0,64.0,30.0,137.0,0.0,0.0,0.0,0.0,523.0,0.0,0.0,0.0,137.0,0.0
DuchessOfYork,66.0,306.0,0.0,0.0,80.0,0.0,0.0,0.0,17.0,0.0,47.0,0.0,306.0,0.0,0.0,0.0,0.0,66.0,0.0,150.0,260.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,120.0,47.0,113.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,80.0
EdwardIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,137.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,90.0,90.0,137.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,137.0,0.0
EdwardV,153.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,9.0,0.0,0.0,0.0,119.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
GENTLEMEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,246.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUARDS,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,26.0,0.0,246.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,291.0,26.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0
Grey,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,480.0,0.0,137.0,0.0,0.0,26.0,0.0,438.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,209.0,116.0,398.0,513.0,7.0,0.0,137.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,33.0,137.0,0.0
Hastings,175.0,329.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,655.0,0.0,5.0,0.0,0.0,0.0,95.0,161.0,0.0,47.0,47.0,485.0,47.0,137.0,95.0,0.0,0.0,438.0,0.0,0.0,5.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,95.0,80.0,0.0,0.0,13.0,485.0,209.0,246.0,603.0,485.0,5.0,0.0,137.0,0.0,0.0,0.0,5.0,491.0,0.0,0.0,0.0,137.0,58.0
HenryVI,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,246.0,0.0,0.0,0.0,7.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HenryVII,0.0,332.0,0.0,91.0,0.0,0.0,0.0,52.0,0.0,94.0,11.0,0.0,332.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,0.0,94.0,0.0,0.0,9.0,0.0,0.0,7.0,5.0,7.0,0.0,119.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,119.0,8.0,0.0,0.0,0.0,52.0,186.0,7.0,186.0,96.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,7.0,0.0,9.0
Herbert,0.0,119.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,94.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,119.0,0.0,0.0,0.0,0.0,35.0,64.0,0.0,64.0,55.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
