,ATTENDANTS,ATTENDANTS.KING,ATTENDANTS.KING.0.2,Bertram,CITIZENS,Countess,Diana,Duke,Fool,GENTLEMEN.1,GENTLEMEN.2,GENTLEMEN.3,Helen,King,LORDS.COURT.1,LORDS.COURT.2,LORDS.COURT.3,LORDS.COURT.4,LORDS.DUMAINE.1,LORDS.DUMAINE.2,Lafew,Mariana,Page,Parolles,SOLDIERS,SOLDIERS.Interpreter,Servant,Steward,Widow
ATTENDANTS,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,39.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
ATTENDANTS.KING,0.0,0.0,210.0,611.0,0.0,385.0,207.0,0.0,0.0,0.0,0.0,25.0,322.0,860.0,145.0,145.0,145.0,145.0,439.0,439.0,654.0,0.0,0.0,413.0,0.0,0.0,0.0,0.0,197.0
ATTENDANTS.KING.0.2,0.0,210.0,0.0,210.0,0.0,210.0,207.0,0.0,0.0,0.0,0.0,0.0,40.0,210.0,0.0,0.0,0.0,0.0,210.0,210.0,210.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,197.0
Bertram,0.0,611.0,210.0,0.0,22.0,399.0,309.0,14.0,0.0,0.0,0.0,0.0,347.0,611.0,145.0,145.0,145.0,145.0,744.0,754.0,715.0,22.0,0.0,879.0,56.0,242.0,20.0,0.0,219.0
CITIZENS,0.0,0.0,0.0,22.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,22.0,22.0,0.0,0.0,0.0,120.0
Countess,0.0,385.0,210.0,399.0,0.0,0.0,207.0,0.0,271.0,65.0,65.0,25.0,328.0,385.0,0.0,0.0,0.0,0.0,385.0,385.0,572.0,0.0,0.0,122.0,0.0,0.0,0.0,173.0,197.0
Diana,45.0,207.0,207.0,309.0,120.0,207.0,0.0,0.0,0.0,0.0,0.0,39.0,214.0,207.0,0.0,0.0,0.0,0.0,207.0,207.0,207.0,120.0,0.0,144.0,22.0,0.0,0.0,0.0,402.0
Duke,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,14.0,41.0,0.0,0.0,0.0,0.0
Fool,0.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,72.0,0.0,0.0,0.0,98.0,0.0
GENTLEMEN.1,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,65.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENTLEMEN.2,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,65.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENTLEMEN.3,39.0,25.0,0.0,0.0,0.0,25.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Helen,45.0,322.0,40.0,347.0,89.0,328.0,214.0,0.0,59.0,65.0,65.0,39.0,0.0,322.0,145.0,145.0,145.0,145.0,40.0,40.0,288.0,89.0,29.0,428.0,22.0,0.0,0.0,0.0,268.0
King,0.0,860.0,210.0,611.0,0.0,385.0,207.0,0.0,0.0,0.0,0.0,25.0,322.0,0.0,145.0,145.0,145.0,145.0,439.0,439.0,654.0,0.0,0.0,413.0,0.0,0.0,0.0,0.0,197.0
LORDS.COURT.1,0.0,145.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,145.0,0.0,145.0,145.0,145.0,0.0,0.0,145.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0
LORDS.COURT.2,0.0,145.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,145.0,145.0,0.0,145.0,145.0,0.0,0.0,145.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0
LORDS.COURT.3,0.0,145.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,145.0,145.0,145.0,0.0,145.0,0.0,0.0,145.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0
LORDS.COURT.4,0.0,145.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,145.0,145.0,145.0,145.0,0.0,0.0,0.0,145.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0
LORDS.DUMAINE.1,0.0,439.0,210.0,744.0,0.0,385.0,207.0,27.0,0.0,0.0,0.0,25.0,40.0,439.0,0.0,0.0,0.0,0.0,0.0,921.0,385.0,0.0,0.0,515.0,237.0,423.0,28.0,0.0,197.0
LORDS.DUMAINE.2,0.0,439.0,210.0,754.0,0.0,385.0,207.0,27.0,0.0,0.0,0.0,25.0,40.0,439.0,0.0,0.0,0.0,0.0,921.0,0.0,385.0,0.0,0.0,443.0,132.0,327.0,28.0,0.0,197.0
Lafew,0.0,654.0,210.0,715.0,0.0,572.0,207.0,0.0,84.0,0.0,0.0,25.0,288.0,654.0,145.0,145.0,145.0,145.0,385.0,385.0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,0.0,197.0
Mariana,0.0,0.0,0.0,22.0,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,120.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
Parolles,0.0,413.0,122.0,879.0,22.0,122.0,144.0,14.0,72.0,0.0,0.0,0.0,428.0,413.0,145.0,145.0,145.0,145.0,515.0,443.0,533.0,22.0,29.0,0.0,108.0,302.0,0.0,0.0,134.0
SOLDIERS,0.0,0.0,0.0,56.0,22.0,0.0,22.0,41.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,237.0,132.0,0.0,22.0,0.0,108.0,0.0,201.0,28.0,0.0,22.0
SOLDIERS.Interpreter,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,327.0,0.0,0.0,0.0,302.0,201.0,0.0,28.0,0.0,0.0
Servant,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0
Steward,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Widow,45.0,197.0,197.0,219.0,120.0,197.0,402.0,0.0,0.0,0.0,0.0,39.0,268.0,197.0,0.0,0.0,0.0,0.0,197.0,197.0,197.0,120.0,0.0,134.0,22.0,0.0,0.0,0.0,0.0
