,ATTENDANTS,Adam,Audrey,Celia,Charles,Corin,DukeFrederick,DukeSenior,Hymen,Jaques,LORDS.FREDERICK,LORDS.FREDERICK.LeBeau,LORDS.SENIOR,LORDS.SENIOR.Amiens,Oliver,OliverMartext,Orlando,Phoebe,Rosalind,SERVANTS.1,SERVANTS.2,SecondBrother,Silvius,Touchstone,William
ATTENDANTS,0,0,0,84,73,0,84,0,0,0,84,84,0,0,0,0,84,0,84,0,0,0,0,84,0
Adam,0,0,0,0,0,0,0,39,0,39,0,0,39,39,58,0,217,0,0,0,0,0,0,0,0
Audrey,0,0,0,97,0,4,0,173,97,276,0,0,0,173,173,43,173,173,97,42,42,53,173,389,51
Celia,84,0,97,0,73,220,140,123,97,205,140,136,0,123,238,0,607,196,1504,0,0,53,293,423,0
Charles,73,0,0,73,0,0,73,0,0,0,73,73,0,0,67,0,73,0,73,0,0,0,0,73,0
Corin,0,0,4,220,0,0,0,0,0,0,0,0,0,0,0,0,0,77,259,0,0,0,101,244,0
DukeFrederick,84,0,0,140,73,0,0,0,0,0,179,84,0,0,18,0,84,0,140,0,0,0,0,84,0
DukeSenior,0,39,173,123,0,0,0,0,97,411,0,0,285,493,208,0,298,204,119,0,0,53,204,173,0
Hymen,0,0,97,97,0,0,0,97,0,95,0,0,0,97,97,0,97,97,97,0,0,53,97,97,0
Jaques,0,39,276,205,0,0,0,411,95,0,0,0,285,472,206,43,348,202,201,0,0,51,202,276,0
LORDS.FREDERICK,84,0,0,140,73,0,179,0,0,0,0,84,0,0,18,0,84,0,140,0,0,0,0,84,0
LORDS.FREDERICK.LeBeau,84,0,0,136,73,0,84,0,0,0,84,0,0,0,0,0,110,0,136,0,0,0,0,136,0
LORDS.SENIOR,0,39,0,0,0,0,0,285,0,285,0,0,0,346,0,0,90,0,0,0,0,0,0,0,0
LORDS.SENIOR.Amiens,0,39,173,123,0,0,0,493,97,472,0,0,346,0,208,0,298,204,119,0,0,53,204,173,0
Oliver,0,58,173,238,67,0,18,208,97,206,18,0,0,208,0,0,285,204,241,0,0,53,204,173,0
OliverMartext,0,0,43,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
Orlando,84,217,173,607,73,0,84,298,97,348,84,110,90,298,285,0,0,256,721,0,0,53,256,257,0
Phoebe,0,0,173,196,0,77,0,204,97,202,0,0,0,204,204,0,256,0,248,0,0,53,406,173,0
Rosalind,84,0,97,1504,73,259,140,119,97,201,140,136,0,119,241,0,721,248,0,0,0,53,345,462,0
SERVANTS.1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,42,0
SERVANTS.2,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,42,0
SecondBrother,0,0,53,53,0,0,0,53,53,51,0,0,0,53,53,0,53,53,53,0,0,0,53,53,0
Silvius,0,0,173,293,0,101,0,204,97,202,0,0,0,204,204,0,256,406,345,0,0,53,0,197,0
Touchstone,84,0,389,423,73,244,84,173,97,276,84,136,0,173,173,43,257,173,462,42,42,53,197,0,51
William,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0