,ATTENDANTS,Archbishop,BEADLES,Bardolph,Bedford,Blunt,Bullcalf,ChiefJustice,Chorus,Clarence,Colevile,DRAWERS.1,DRAWERS.Francis,DRAWERS.Will,DRAWERS.X,Davy,DollTearsheet,Falstaff,Feeble,Gloucester,Harcourt,Hastings,HenryIV,HenryV,LadyNorthumberland,LadyPercy,LordBardolph,MESSENGERS.1,MESSENGERS.Gower,MUSICIANS,Man,MistressQuickly,Morton,Mouldy,Mowbray,Northumberland,OFFICERS,OFFICERS.Fang,OFFICERS.Snare,Peto,Pistol,Poins,Porter,SERVANTS.CHIEFJUSTICE.1,SERVANTS.FALSTAFF.1,SERVANTS.HENRY,SOLDIERS.HENRY,SOLDIERS.REBEL,Shadow,Shallow,Silence,Surrey,Travers,Wart,Warwick,Westmoreland
ATTENDANTS,0,0,0,35,17,0,0,35,0,212,0,0,0,0,0,0,0,35,0,212,66,0,229,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,35,0,0,0,0,35,0,0,0,0,202,80
Archbishop,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,496,361,0,0,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,142,380,0,0,0,0,0,0,0,302
BEADLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bardolph,35,0,0,0,6,0,158,151,0,0,0,0,133,0,0,172,263,903,207,0,0,0,0,271,0,0,0,0,33,150,253,393,0,158,0,0,116,130,130,14,254,236,0,0,790,0,0,0,207,528,373,0,0,207,0,0
Bedford,17,142,0,6,0,158,0,152,0,133,53,0,0,0,0,0,0,71,0,133,0,137,17,122,0,0,142,142,0,0,0,0,0,0,142,0,6,0,0,0,6,0,0,0,6,0,207,142,0,6,0,0,0,0,142,153
Blunt,0,0,0,0,158,0,0,105,0,105,53,0,0,0,0,0,0,53,0,105,0,0,81,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,81,0,0,186,7
Bullcalf,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,135,158,0,0,0,0,0,0,0,0,0,0,0,158,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,135,135,0,0,158,0,0
ChiefJustice,35,0,0,151,152,105,0,0,0,133,0,0,0,0,0,0,0,360,0,133,0,0,0,140,0,0,0,0,64,0,0,110,0,0,0,0,147,110,110,0,41,0,0,178,329,0,0,0,0,41,0,0,0,0,147,0
Chorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarence,212,0,0,0,133,105,0,133,0,0,0,0,0,0,0,0,0,0,0,345,66,0,212,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,80
Colevile,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,7
DRAWERS.1,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAWERS.Francis,0,0,0,133,0,0,0,0,0,0,0,21,0,7,0,0,133,133,0,0,0,0,0,124,0,0,0,0,0,133,0,133,0,0,0,0,0,0,0,0,0,124,0,0,133,0,0,0,0,0,0,0,0,0,0,0
DRAWERS.Will,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAWERS.X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davy,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,172,0,0,0,0,172,125,0,0,0,0,0
DollTearsheet,0,0,32,263,0,0,0,0,0,0,0,0,133,13,33,0,0,358,0,0,0,0,0,138,0,0,0,0,0,163,0,411,0,0,0,0,0,0,0,14,99,138,0,0,280,0,0,0,0,0,0,0,0,0,0,0
Falstaff,35,0,0,903,71,53,135,360,0,0,76,0,133,2,33,172,358,0,184,0,0,0,0,173,0,0,0,0,64,163,204,488,0,135,0,0,147,130,130,14,254,138,0,178,959,0,65,0,184,502,347,0,0,184,0,19
Feeble,0,0,0,207,0,0,158,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,183,183,0,0,207,0,0
Gloucester,212,0,0,0,133,105,0,133,0,345,0,0,0,0,0,0,0,0,0,0,66,0,212,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,80
Harcourt,66,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,66,0,0,66,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66
Hastings,0,491,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,356,0,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0,0,0,137,375,0,0,0,0,0,0,0,298
HenryIV,229,0,0,0,17,81,0,0,0,212,0,0,0,0,0,0,0,0,0,212,66,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,81,0,0,283,80
HenryV,69,0,0,271,122,105,0,140,0,122,0,0,124,0,0,0,138,173,0,122,15,0,204,0,0,0,0,0,0,138,0,138,0,0,0,0,0,0,0,14,35,316,0,0,271,0,0,0,0,35,0,0,0,0,131,15
LadyNorthumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LadyPercy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LordBardolph,0,496,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,0,361,0,0,0,0,167,0,496,227,0,0,0,0,0,0,8,0,0,0,142,380,0,0,0,0,202,0,0,302
MESSENGERS.1,0,361,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,361,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,142,361,0,0,0,0,0,0,0,302
MESSENGERS.Gower,0,0,0,33,0,0,0,64,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,64,33,33,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
MUSICIANS,0,0,0,150,0,0,0,0,0,0,0,0,133,0,0,0,163,163,0,0,0,0,0,138,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,14,0,138,0,0,163,0,0,0,0,0,0,0,0,0,0,0
Man,0,0,0,253,0,0,158,0,0,0,0,0,0,0,0,0,0,204,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,229,229,0,0,207,0,0
MistressQuickly,0,0,32,393,0,0,0,110,0,0,0,0,133,13,33,0,411,488,0,0,0,0,0,138,0,0,0,0,33,163,0,0,0,0,0,0,110,171,171,14,99,138,0,0,410,0,0,0,0,0,0,0,0,0,0,0
Morton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0
Mouldy,0,0,0,158,0,0,158,0,0,0,0,0,0,0,0,0,0,135,158,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,135,135,0,0,158,0,0
Mowbray,0,496,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,496,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,380,0,0,0,0,0,0,0,302
Northumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,227,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,202,0,0,0
OFFICERS,0,0,0,116,6,0,0,147,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,64,0,0,110,0,0,0,0,0,110,110,0,6,0,0,0,116,0,0,0,0,6,0,0,0,0,0,0
OFFICERS.Fang,0,0,0,130,0,0,0,110,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,33,0,0,171,0,0,0,0,110,0,171,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0
OFFICERS.Snare,0,0,0,130,0,0,0,110,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,33,0,0,171,0,0,0,0,110,171,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0
Peto,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,14,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0
Pistol,35,0,0,254,6,0,0,41,0,0,0,0,0,0,0,62,99,254,0,0,0,0,0,35,0,0,0,0,0,0,0,99,0,0,0,0,6,0,0,0,0,0,0,0,254,0,0,0,0,155,62,0,0,0,0,0
Poins,0,0,0,236,0,0,0,0,0,0,0,0,124,0,0,0,138,138,0,0,0,0,0,316,0,0,0,0,0,138,0,138,0,0,0,0,0,0,0,14,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0
Porter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.CHIEFJUSTICE.1,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.FALSTAFF.1,35,0,0,790,6,0,0,329,0,0,0,0,133,0,0,172,280,959,0,0,0,0,0,271,0,0,0,0,33,163,0,410,0,0,0,0,116,130,130,14,254,236,0,178,0,0,0,0,0,299,144,0,0,0,0,0
SERVANTS.HENRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLDIERS.HENRY,0,142,0,0,207,53,0,0,0,0,53,0,0,0,0,0,0,65,0,0,0,137,0,0,0,0,142,142,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,153
SOLDIERS.REBEL,0,380,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,380,361,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,302
Shadow,0,0,0,207,0,0,158,0,0,0,0,0,0,0,0,0,0,184,207,0,0,0,0,0,0,0,0,0,0,0,207,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,183,0,0,207,0,0
Shallow,35,0,0,528,6,0,135,41,0,0,0,0,0,0,0,172,0,502,183,0,0,0,0,35,0,0,0,0,0,0,229,0,0,135,0,0,6,0,0,0,155,0,0,0,299,0,0,0,183,0,431,0,0,183,0,0
Silence,0,0,0,373,0,0,135,0,0,0,0,0,0,0,0,125,0,347,183,0,0,0,0,0,0,0,0,0,0,0,229,0,0,135,0,0,0,0,0,0,62,0,0,0,144,0,0,0,183,431,0,0,0,183,0,0
Surrey,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0
Travers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,167,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wart,0,0,0,207,0,0,158,0,0,0,0,0,0,0,0,0,0,184,207,0,0,0,0,0,0,0,0,0,0,0,207,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,183,183,0,0,0,0,0
Warwick,202,0,0,0,142,186,0,147,0,326,0,0,0,0,0,0,0,0,0,326,66,0,283,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,80
Westmoreland,80,302,0,0,153,7,0,0,0,80,7,0,0,0,0,0,0,19,0,80,66,298,80,15,0,0,302,302,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,153,302,0,0,0,0,0,0,80,0