,ATTENDANTS.GREEK,ATTENDANTS.TROJAN,Achilles,Aeneas,Agamemnon,Ajax,Alexander,Andromache,Antenor,Bastard,Calchas,Cassandra,Cressida,Deiphobus,Diomedes,Hector,Helen,Helenus,MYRMIDONS,Menelaus,Nestor,Pandarus,Paris,Patroclus,Priam,Prologue,SERVANTS.AENEAS.1,SERVANTS.DIOMEDES.1,SERVANTS.PARIS.1,SOLDIERS.GREEK,SOLDIERS.GREEK.1,SOLDIERS.TROJAN,Thersites,Troilus,Trumpeter,Ulysses
ATTENDANTS.GREEK,0,102,305,386,622,305,0,0,85,0,0,0,58,85,664,232,0,102,0,622,622,0,187,305,0,0,55,0,0,0,0,0,0,232,404,622
ATTENDANTS.TROJAN,102,0,102,102,102,102,0,0,0,0,0,0,0,0,74,102,117,102,0,102,102,105,219,102,0,0,0,0,117,0,0,0,0,102,102,102
Achilles,305,102,0,232,350,441,0,0,0,0,3,0,58,0,287,280,0,102,26,345,360,0,102,748,0,0,0,0,0,0,18,0,238,254,305,520
Aeneas,386,102,232,0,331,232,0,0,148,0,0,0,33,148,404,232,0,102,0,331,331,35,250,232,0,0,55,0,0,0,0,36,8,348,331,339
Agamemnon,622,102,350,331,0,603,0,0,0,0,244,0,58,0,891,250,0,102,0,713,953,0,102,390,0,0,0,0,0,12,0,0,26,250,404,911
Ajax,305,102,441,232,603,0,0,0,0,0,244,0,58,0,555,260,0,102,0,398,613,0,102,473,0,0,0,0,0,10,0,0,159,265,305,591
Alexander,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andromache,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,88,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,57,0,0
Antenor,85,0,0,148,0,0,0,0,0,0,0,0,33,178,131,0,0,0,0,0,0,3,178,0,0,0,55,0,0,0,0,36,0,77,0,0
Bastard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Calchas,0,0,3,0,244,244,0,0,0,0,0,0,0,0,244,0,0,0,0,38,244,0,0,58,0,0,0,0,0,0,0,0,8,0,0,225
Cassandra,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,75,0,12,0,0,0,0,12,0,49,0,0,0,0,0,0,0,0,51,0,0
Cressida,58,0,58,33,58,58,189,0,33,0,0,0,0,33,210,0,0,0,0,58,58,490,33,58,0,0,0,0,0,0,0,0,125,483,58,183
Deiphobus,85,0,0,148,0,0,0,0,178,0,0,0,33,0,131,0,0,0,0,0,0,3,178,0,0,0,55,0,0,0,0,36,0,77,0,0
Diomedes,664,74,287,404,891,555,0,0,131,0,244,0,210,131,0,231,0,74,0,645,889,0,205,322,0,0,55,6,0,12,0,0,168,413,361,971
Hector,232,102,280,232,250,260,0,88,0,0,0,75,0,0,231,0,0,325,18,250,260,0,325,232,264,0,0,0,0,0,26,0,33,562,232,259
Helen,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,117,0,0,0,0,0,117,0,0,0,0,0,0,0
Helenus,102,102,102,102,102,102,0,0,0,0,0,12,0,0,74,325,0,0,0,102,102,0,325,102,223,0,0,0,0,0,0,0,0,325,102,102
MYRMIDONS,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
Menelaus,622,102,345,331,713,398,0,0,0,0,38,0,58,0,645,250,0,102,0,0,713,0,106,332,0,0,0,0,0,10,0,0,22,250,404,705
Nestor,622,102,360,331,953,613,0,0,0,0,244,0,58,0,889,260,0,102,0,713,0,0,102,390,0,0,0,0,0,12,0,0,36,259,404,1002
Pandarus,0,105,0,35,0,0,149,0,3,0,0,0,490,3,0,0,105,0,0,0,0,0,108,0,0,0,0,0,146,0,0,3,0,344,0,0
Paris,187,219,102,250,102,102,0,0,178,0,0,12,33,178,205,325,117,325,0,106,102,108,0,102,223,0,55,0,117,0,0,36,4,402,102,102
Patroclus,305,102,748,232,390,473,0,0,0,0,58,0,58,0,322,232,0,102,0,332,390,0,102,0,0,0,0,0,0,2,0,0,228,232,305,549
Priam,0,0,0,0,0,0,0,24,0,0,0,49,0,0,0,264,0,223,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,264,0,0
Prologue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.AENEAS.1,55,0,0,55,0,0,0,0,55,0,0,0,0,55,55,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.DIOMEDES.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.PARIS.1,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,146,117,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLDIERS.GREEK,0,0,0,0,12,10,0,0,0,0,0,0,0,0,12,0,0,0,0,10,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SOLDIERS.GREEK.1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLDIERS.TROJAN,0,0,0,36,0,0,0,0,36,0,0,0,0,36,0,0,0,0,0,0,0,3,36,0,0,0,0,0,0,0,0,0,0,34,0,0
Thersites,0,0,238,8,26,159,0,0,0,10,8,0,125,0,168,33,0,0,0,22,36,0,4,228,0,0,0,0,0,0,0,0,0,251,0,250
Troilus,232,102,254,348,250,265,0,57,77,0,0,51,483,77,413,562,0,325,0,250,259,344,402,232,264,0,0,0,0,0,0,34,251,0,232,492
Trumpeter,404,102,305,331,404,305,0,0,0,0,0,0,58,0,361,232,0,102,0,404,404,0,102,305,0,0,0,0,0,0,0,0,0,232,0,404
Ulysses,622,102,520,339,911,591,0,0,0,0,225,0,183,0,971,259,0,102,0,705,1002,0,102,549,0,0,0,0,0,0,0,0,250,492,404,0